[2026-06-18T09:28:46.060+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-06-18T09:28:46.253+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.261+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract.trigger_transform_dag manual__2026-06-18T08:52:46.047066+00:00 [queued]>
[2026-06-18T09:28:46.262+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2026-06-18T09:28:49.743+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29043 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.744+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29397 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.745+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29458 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.747+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29746 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.748+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:29807 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.750+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30352 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.751+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30413 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.753+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30842 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.754+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:30903 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.756+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:31256 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.757+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:31311 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.762+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33045 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.763+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33106 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.766+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33623 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.767+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33676 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.769+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:33951 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.770+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34012 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.772+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34461 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.773+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34522 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.774+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34687 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.775+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34748 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.776+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34789 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.778+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:34849 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.782+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36452 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.784+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36513 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.786+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36828 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.787+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36892 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.788+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36935 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.789+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:36994 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.791+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37523 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.792+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37595 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.793+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37645 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.794+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:37706 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.797+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:38651 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.799+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:38712 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.804+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40149 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.806+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40210 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.808+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40584 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.809+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40645 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.810+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40836 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.811+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40897 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.812+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40938 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.813+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:40993 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.815+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41336 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.816+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41398 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.817+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41440 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.818+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41513 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.819+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41897 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.820+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:41953 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.821+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42184 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.822+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42246 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.823+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42288 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.834+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42361 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.835+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42561 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.836+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42621 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.838+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42904 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.839+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:42974 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.840+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43489 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.841+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43552 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.842+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43717 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.843+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43778 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.844+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43819 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.846+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:43879 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.847+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:44249 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.848+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:44326 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.853+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45440 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.854+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45501 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.855+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45542 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.856+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45603 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.857+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45644 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.858+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:45714 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.859+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46046 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.860+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46110 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.861+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46153 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.862+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46208 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.864+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46593 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.865+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46657 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.866+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46700 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.867+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:46759 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.868+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47084 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.869+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47145 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.871+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47487 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.872+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:47548 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.875+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48236 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.876+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48296 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.878+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48684 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.879+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:48744 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.882+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:49395 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.883+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:49456 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.886+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50201 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.887+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50262 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.888+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50507 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.889+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:50562 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.892+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51081 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.893+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51142 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.895+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51557 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.896+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51640 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.897+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51699 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.898+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:51781 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.900+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52404 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.901+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52465 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.903+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52844 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.904+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52919 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.905+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:52973 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.906+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53033 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.907+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53309 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.908+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53384 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.909+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53438 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.910+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53498 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.911+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53538 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.912+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53613 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.913+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53667 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.914+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:53732 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.915+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54012 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.917+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54087 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.917+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54141 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.918+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54206 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.920+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54467 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.921+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54527 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.923+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54778 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.925+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54847 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.925+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54895 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.926+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:54963 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.929+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55221 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.931+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55289 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.932+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55477 SyntaxWarning: invalid escape sequence '\d'
[2026-06-18T09:28:49.933+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:55551 SyntaxWarning: invalid escape sequence '\d'
